pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
USD/CAD,1m,1,65.0,40.0,-25.0,-0.07022508632798007,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,65.0,0.0,-0.06392652180848767,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,90.0,25.0,-0.057627957288995266,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,115.0,50.0,-0.05132939276950286,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,140.0,75.0,-0.04503082825001046,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,165.0,100.0,-0.03873226373051805,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,215.0,150.0,-0.02613513469153325,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,5m,5,65.0,-85.0,-150.0,-0.13872609923773493,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,-35.0,-100.0,-0.12148299217953787,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,-10.0,-75.0,-0.11286143865043932,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,15.0,-50.0,-0.10423988512134079,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,40.0,-25.0,-0.09561833159224226,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,65.0,0.0,-0.08699677806314371,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,90.0,25.0,-0.07837522453404516,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,115.0,50.0,-0.06975367100494663,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,140.0,75.0,-0.06113211747584809,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,165.0,100.0,-0.05251056394674955,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,5m,5,65.0,215.0,150.0,-0.03526745688855247,0.00034486214116394157,-0.08699677806314371,59
USD/CAD,15m,15,65.0,-85.0,-150.0,-0.13122412117416063,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,-35.0,-100.0,-0.11762197079614828,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,-10.0,-75.0,-0.11082089560714209,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,15.0,-50.0,-0.10401982041813591,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,40.0,-25.0,-0.09721874522912974,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,65.0,0.0,-0.09041767004012356,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,90.0,25.0,-0.08361659485111739,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,115.0,50.0,-0.07681551966211121,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,140.0,75.0,-0.07001444447310504,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,165.0,100.0,-0.06321336928409885,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,15m,15,65.0,215.0,150.0,-0.049611218906086496,0.0002720430075602471,-0.09041767004012356,59
USD/CAD,30m,30,65.0,-85.0,-150.0,-0.16168696636837573,0.0004385633665827815,-0.09590246138095851,59
USD/CAD,30m,30,65.0,-35.0,-100.0,-0.13975879803923666,0.0004385633665827815,-0.09590246138095851,59
USD/CAD,30m,30,65.0,-10.0,-75.0,-0.12879471387466712,0.0004385633665827815,-0.09590246138095851,59
USD/CAD,30m,30,65.0,15.0,-50.0,-0.11783062971009758,0.0004385633665827815,-0.09590246138095851,59
