event_date,release_time_utc,event_id,event_base_id,event_name,currency,impact,forecast,pair,horizon_label,horizon_minutes,scenario,scenario_delta,scenario_actual,predicted_return_pct,live_spot,predicted_spot,slope_pct_per_unit_surprise,intercept_pct,corr,r2,mover_score,n_events
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=+0.00,0.0,1.7,-0.0020581087389721924,1.1785999999999999,1.1785757431304025,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=+0.50,0.09672961101471887,1.7967296110147188,-0.0011112459131548094,1.1785999999999999,1.1785869028556675,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=+1.00,0.19345922202943774,1.8934592220294377,-0.0001643830873374263,1.1785999999999999,1.1785980625809325,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=+2.00,0.3869184440588755,2.0869184440588753,0.0017293425642973398,1.1785999999999999,1.1786203820314627,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=-0.50,-0.09672961101471887,1.603270388985281,-0.0030049715647895753,1.1785999999999999,1.1785645834051373,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=-1.00,-0.19345922202943774,1.5065407779705622,-0.003951834390606959,1.1785999999999999,1.1785534236798723,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,1m,1,z=-2.00,-0.3869184440588755,1.3130815559411244,-0.0058455600422417245,1.1785999999999999,1.178531104229342,0.009788758745998716,-0.0020581087389721924,0.16659687627307077,0.027754519183944847,0.0013007935557231057,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,5m,5,z=+0.00,0.0,1.7,0.006537469172348521,1.1785999999999999,1.178677050611665,0.0042087402884695415,0.006537469172348521,0.03258952302363148,0.0010620770109078064,0.00010940672782089862,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,5m,5,z=+0.50,0.09672961101471887,1.7967296110147188,0.006944578983314155,1.1785999999999999,1.1786818488078972,0.0042087402884695415,0.006537469172348521,0.03258952302363148,0.0010620770109078064,0.00010940672782089862,17
2026-05-11,2026-05-11 01:30:00,150184,455,PPI y/y,CNY,medium,1.7,EUR/USD,5m,5,z=+1.00,0.19345922202943774,1.8934592220294377,0.00735168879427979,1.1785999999999999,1.1786866470041293,0.0042087402884695415,0.006537469172348521,0.03258952302363148,0.0010620770109078064,0.00010940672782089862,17
