event_base_id,event_name,currency,impact,history_events,surprise_mean,surprise_std,surprise_median,surprise_abs_mean
380,Company Operating Profits q/q,AUD,low,19,-0.47894736842105273,5.626976585794188,-1.6,4.405263157894737
381,Private Capital Expenditure q/q,AUD,low,19,0.015789473684210565,1.9265003266991496,-0.30000000000000027,1.3631578947368421
382,Tertiary Industry Activity m/m,JPY,low,59,-0.19661016949152538,0.7768118091219713,-0.10000000000000009,0.6033898305084746
384,Capital Spending q/y,JPY,low,19,0.8315789473684211,4.196169236018721,1.2999999999999998,2.9578947368421056
385,Index of Services 3m/3m,GBP,low,59,0.0033898305084745927,0.15421223809269155,0.0,0.12203389830508475
388,Bank Lending y/y,JPY,low,59,-0.02372881355932205,0.49212382204525534,0.0,0.28135593220338984
448,RatingDog Manufacturing PMI,CNY,low,59,-0.03898305084745842,0.9878602702310063,0.10000000000000142,0.8288135593220338
449,Manufacturing PMI,CNY,high,59,-0.12881355932203403,0.611682486785882,0.0,0.4406779661016949
450,USD-Denominated Trade Balance,CNY,low,54,4920370370.37037,17461379266.76966,4650000000.0,13616666666.666666
452,GDP q/y,CNY,medium,20,0.16500000000000015,0.49976310177396727,0.15000000000000036,0.3949999999999999
453,Industrial Production y/y,CNY,low,54,0.11296296296296295,1.2910499305335474,0.09999999999999964,0.8611111111111112
454,CPI y/y,CNY,medium,59,-0.07627118644067797,0.2103683002300288,-0.1,0.1711864406779661
455,PPI y/y,CNY,medium,59,-0.04576271186440674,0.36403961223372067,0.0,0.2593220338983051
458,Fixed Asset Investment ytd/y,CNY,low,54,0.08148148148148147,1.4623674362206367,-0.19999999999999984,0.6592592592592593
470,Retail Sales y/y,CNY,medium,54,-0.24259259259259258,2.0206109529892986,-0.3999999999999999,1.438888888888889
476,M2 Money Supply y/y,CNY,low,59,0.05423728813559337,0.42031270538702525,0.0,0.3322033898305084
477,New Loans,CNY,medium,59,25898305084.74576,762765786236.0176,-120000000000.0,455084745762.71185
478,Asset Purchase Facility,GBP,high,5,0.0,0.0,0.0,0.0
486,Italian Monthly Unemployment Rate,EUR,low,59,-0.09999999999999998,0.24913643956121986,-0.10000000000000053,0.20847457627118643
510,Retail Sales q/q,NZD,medium,19,0.04210526315789467,1.4580488444316733,0.4,1.0736842105263158
511,Core Retail Sales q/q,NZD,low,19,0.005263157894736777,1.3802067816939307,-0.10000000000000009,1.0578947368421052
520,Non-Manufacturing PMI,CNY,medium,59,-0.17457627118644004,1.5830561037762048,-0.19999999999999574,1.0457627118644064
547,Italian Manufacturing PMI,EUR,low,59,-0.0305084745762715,1.2668524990058188,0.10000000000000142,1.0338983050847455
548,Italian Services PMI,EUR,low,59,-0.03559322033898284,1.2374560545125621,-0.19999999999999574,0.9881355932203395
552,Flash Manufacturing PMI,USD,high,59,-0.03728813559322075,1.5500721123475183,0.0,1.2440677966101696
553,Final Manufacturing PMI,USD,low,59,0.13728813559322084,0.46271250666296737,0.10000000000000142,0.3644067796610173
555,Spanish Flash GDP q/q,EUR,low,20,0.14,0.35600118273014647,0.15000000000000002,0.27999999999999997
556,French Prelim CPI m/m,EUR,low,59,-0.03559322033898305,0.21071529400035846,-0.09999999999999998,0.16101694915254233
557,Spanish Manufacturing PMI,EUR,low,59,-0.02542372881355872,1.3003438829440437,0.0,1.0491525423728807
558,Spanish Services PMI,EUR,low,59,0.10338983050847472,1.8224619670308924,0.29999999999999716,1.4220338983050849
559,Spanish Unemployment Rate,EUR,low,20,0.0400000000000003,0.5977149470230243,0.25,0.48999999999999994
561,Spanish Unemployment Change,EUR,low,59,-6791.525423728814,40304.58298632959,-8900.0,31696.610169491527
570,NFIB Small Business Index,USD,low,59,0.1016949152542373,1.680464993676958,0.0,1.1864406779661016
578,JOLTS Job Openings,USD,high,59,95762.71186440681,463804.3708803221,90000.0,376779.66101694916
583,Flash Services PMI,USD,high,59,-0.19322033898305083,2.4777537384786066,0.10000000000000142,2.0033898305084747
584,Final Services PMI,USD,low,59,-0.020338983050847387,0.638095134247764,0.0,0.47796610169491516
591,RatingDog Services PMI,CNY,low,59,-0.0949152542372878,2.333446742394367,0.10000000000000142,1.6338983050847458
592,Spanish Flash CPI y/y,EUR,medium,59,0.06610169491525422,0.4998655576119771,0.0,0.3474576271186441
593,Core CPI Flash Estimate y/y,EUR,medium,59,0.04576271186440681,0.14059238452214415,0.0,0.1101694915254237
595,Flash Manufacturing PMI,JPY,low,59,-0.23728813559322046,1.0109569220817887,-0.3999999999999986,0.7898305084745758
599,Construction Output m/m,GBP,low,59,-0.055932203389830515,1.1574751336333513,0.0,0.8796610169491526
617,French Final Manufacturing PMI,EUR,low,59,0.1440677966101701,0.46471021242411725,0.10000000000000142,0.3406779661016952
618,German Final Manufacturing PMI,EUR,low,59,0.028813559322033225,0.3841923222848554,0.0,0.30338983050847446
619,French Final Services PMI,EUR,low,59,0.13728813559322037,0.7785703753287607,0.10000000000000142,0.5813559322033899
620,German Final Services PMI,EUR,low,59,-0.013559322033897654,0.539941767970892,0.0,0.40000000000000024
625,Goods Trade Balance,USD,low,54,-1518518518.5185184,11976330021.449371,-1300000000.0,7607407407.407408
630,Trade Balance,CNY,low,54,42870370370.37037,134834916016.65617,32000000000.0,105759259259.25926
631,BOJ Core CPI y/y,JPY,low,59,0.02542372881355934,0.2097561970141913,0.0,0.16440677966101694
638,Prelim Flash GDP q/q,EUR,low,20,0.1,0.17770466332772772,0.1,0.16
639,HPI y/y,GBP,low,59,0.09491525423728818,1.6471944516843933,0.2999999999999998,1.006779661016949
641,BOJ Policy Rate,JPY,low,22,0.0,0.0,0.0,0.0
642,Prelim Wholesale Inventories m/m,USD,low,54,0.038888888888888896,0.4536712576997722,0.0,0.36111111111111116
657,Trimmed CPI y/y,CAD,high,59,0.04237288135593223,0.16938365942287847,0.0,0.12372881355932208
659,Median CPI y/y,CAD,high,59,0.03559322033898303,0.16893450257463766,0.0,0.13389830508474573
664,Common CPI y/y,CAD,medium,59,0.02881355932203392,0.22441559926236238,0.0,0.16440677966101694
675,French Flash GDP q/q,EUR,low,20,0.10499999999999998,0.2327750212679955,0.09999999999999998,0.16499999999999998
771,Unemployment Rate,CNY,low,54,0.009259259259259276,0.15328911950276025,0.0,0.11666666666666663
777,1-y Loan Prime Rate,CNY,medium,59,7.526935760170553e-18,0.02076136996343503,0.0,0.006779661016949166
804,GDP m/m,GBP,high,59,0.011864406779661016,0.2704305288843315,0.0,0.211864406779661
808,Flash Employment Change q/q,EUR,low,19,0.021052631578947364,0.19882696935448685,0.0,0.1368421052631579
828,Wards Total Vehicle Sales,USD,low,59,-20338.983050847615,565313.358637597,-100000.0,403389.83050847455
834,SNB Policy Rate,CHF,high,20,-0.025,0.16018081887929686,0.0,0.075
836,Flash Services PMI,GBP,high,59,-0.14406779661016936,1.945310115020284,-0.10000000000000142,1.4559322033898296
837,Flash Manufacturing PMI,GBP,high,59,-0.1491525423728806,1.5316627072379303,0.10000000000000142,1.2237288135593227
884,CPI y/y,USD,high,58,0.025862068965517303,0.16174524568254683,0.0,0.11896551724137931
888,CPI y/y,AUD,high,43,-0.02790697674418605,0.29866813992675706,0.0,0.22790697674418597
898,5-y Loan Prime Rate,CNY,medium,59,-0.0033898305084745567,0.03579684870986525,0.0,0.011864406779660998
923,Household Spending m/m,AUD,low,17,-0.06470588235294118,0.365617929795894,-0.1,0.2882352941176471
