pair,horizon_label,horizon_minutes,n_events,slope_pct_per_1k_delta,intercept_pct,corr,r2,rmse_pct,mean_return_pct,std_return_pct,delta_std_k_series
EUR/USD,1m,1,58,-0.0005452838339471177,-0.10802660284459767,-0.3974437783161037,0.1579615569221802,0.1746786545499189,-0.12174331170199157,0.19202176059406895,139.95986915104191
EUR/USD,5m,5,58,-0.0005346760278759094,-0.12246710561693647,-0.31185395919994546,0.09725289186868125,0.2260213490171754,-0.13591697328367702,0.23996227943263584,139.95986915104191
EUR/USD,15m,15,58,-0.0006490044841501822,-0.14264123225885092,-0.34670854262571604,0.12020681352964796,0.2436129725197267,-0.15896705195497365,0.2619911871573296,139.95986915104191
EUR/USD,30m,30,58,-0.000683645799752702,-0.14461649438559307,-0.3196748049894617,0.10219198094505037,0.28115217001489096,-0.16181372234833774,0.2993134747738467,139.95986915104191
EUR/USD,1h,60,58,-0.0005844615744826045,-0.10087918072471687,-0.2526194621169632,0.06381659264026379,0.3105965205182181,-0.1155814124000638,0.3238118108672212,139.95986915104191
EUR/USD,2h,120,58,-0.00044246696873830927,-0.09829199218868358,-0.14791803899568198,0.021879746260328094,0.410471302315568,-0.10942232507470415,0.41866170934080404,139.95986915104191
EUR/USD,4h,240,58,-0.0005563167518172641,-0.10027930006682947,-0.17663603174910478,0.03120028771207075,0.4301171877803102,-0.11427354387547413,0.4408048517613483,139.95986915104191
EUR/USD,6h,360,58,-0.0006677974650013989,-0.11295506587798423,-0.19226794381722986,0.03696696221970546,0.47291755572350147,-0.12975362624758838,0.4861176749767558,139.95986915104191
EUR/USD,12h,720,58,-0.0006203460067692464,-0.13737348950703598,-0.16759638627694168,0.028088548693089844,0.5063020073694848,-0.1529784002635244,0.5180514202276723,139.95986915104191
GBP/USD,1m,1,58,-0.0005295570706089326,-0.12063756045559204,-0.37052248368837987,0.13728691091860573,0.1841867382102587,-0.133958659869703,0.2000330386772686,139.95986915104191
GBP/USD,5m,5,58,-0.0005384714217887259,-0.13559625529286579,-0.3045503448778813,0.09275091256523643,0.23366506814870883,-0.1491415967478615,0.24746118664007827,139.95986915104191
GBP/USD,15m,15,58,-0.0006531002953967963,-0.16103371129515368,-0.31575371410772074,0.09970040797282025,0.27230266890326754,-0.1774625618293593,0.2894909158695067,139.95986915104191
GBP/USD,30m,30,58,-0.0007591090923582381,-0.1575249887745415,-0.33574859935798007,0.11272712197084542,0.295491876288882,-0.176620508873691,0.31644155609580193,139.95986915104191
GBP/USD,1h,60,58,-0.0006438492802314269,-0.12618260676266727,-0.27118942197842066,0.07354370259298991,0.31706689291739576,-0.14237874641538542,0.3322882594637249,139.95986915104191
