event_base_id,event_name,currency,impact,pair,horizon_label,horizon_minutes,n_events,slope_pct_per_unit_surprise,intercept_pct,surprise_std,slope_pct_per_1sd_surprise,corr,r2,rmse_pct,mean_return_pct,std_return_pct,mean_abs_return_pct,mover_score
104,Retail Sales m/m,CAD,medium,USD/JPY,6h,360,11,-2.743564465870524,-0.38750516152078707,0.16180796699117808,-0.4439305885317469,-0.7978143439232994,0.6365077273697647,0.31986334837566116,-0.1879732003665672,0.5564334508561124,0.3602565226676345,1.1746629027605089
104,Retail Sales m/m,CAD,medium,USD/JPY,4h,240,11,-2.4710002062964915,-0.3293889140456635,0.16180796699117808,-0.3998275198156169,-0.7801892063202467,0.6086951976586165,0.3056567504336968,-0.1496798081331914,0.5124750721705041,0.3255361906165233,1.0345916363007206
103,Core Retail Sales m/m,CAD,medium,USD/JPY,6h,360,11,-0.6900105533097366,-0.2005188467903805,0.6030226891555273,-0.41609201940253066,-0.74778397805226,0.5591808778316629,0.3522468357444378,-0.1879732003665672,0.5564334508561124,0.3602565226676345,1.0319576729039917
103,Core Retail Sales m/m,CAD,medium,USD/JPY,4h,240,11,-0.613793032931607,-0.1608396814592205,0.6030226891555273,-0.3701311253033448,-0.7222422033831125,0.5216338003476932,0.33795326422160704,-0.1496798081331914,0.5124750721705041,0.3255361906165233,0.8866144650514545
592,Spanish Flash CPI y/y,EUR,medium,EUR/USD,12h,720,11,-1.482748095115165,-0.1207431674746635,0.22074254852038105,-0.3273055933294619,-0.7575919384660709,0.5739455452287789,0.26887739698740465,-0.1881408081617164,0.43203415547447827,0.32942474713310393,0.8224038112678755
331,CBI Industrial Order Expectations,GBP,low,GBP/USD,12h,720,17,0.042981498113196646,-0.007545702202247561,6.341970374835736,0.2725873876999512,0.7178277990580805,0.515276749100568,0.2564885257435586,-0.08086708133652419,0.3797392467352686,0.28187500747304184,0.8067713950655094
89,PPI m/m,EUR,low,GBP/USD,12h,720,23,-0.5267459895674509,0.03776434147309751,0.549379815626841,-0.2893836146307441,-0.5081774077357043,0.25824427773298025,0.4796632641980155,-0.014910257483647646,0.5694539155531457,0.38754561360634854,0.7052664238549313
104,Retail Sales m/m,CAD,medium,GBP/USD,4h,240,11,1.7436644193341722,0.174715142302375,0.16180796699117808,0.2821387948073154,0.7222595004436195,0.5216587859810669,0.25759777164464254,0.04790318453261704,0.3906335529460294,0.26696803110851874,0.6758532594475553
67,Employment Change,CAD,high,USD/CAD,6h,360,45,-4.10487356387661e-06,-0.11886265115456007,51005.06134520655,-0.20936932793984314,-0.47528795124557943,0.2258986365992203,0.3832439005555328,-0.14336418536027695,0.4405104892542559,0.3193027695661144,0.6675381960533527
67,Employment Change,CAD,high,USD/CAD,30m,30,45,-3.046616445784371e-06,-0.079214570607261,51005.06134520655,-0.155392858712547,-0.639191162868879,0.4085653426896698,0.18487311577250504,-0.0973994856592095,0.24310858431630664,0.18654606217571615,0.6662973334986749
145,Leading Indicators,JPY,low,USD/JPY,12h,720,28,-0.1183367553019096,0.22822055453516343,2.2859445155213916,-0.2705112567669972,-0.4639202098486003,0.2152219611059693,0.50724565657853,0.1627127078501776,0.5830986687458135,0.4620483557227471,0.6640605028647242
189,Chicago PMI,USD,low,USD/CAD,6h,360,14,0.04247149639368928,-0.1534954497062803,5.1497359368981455,0.21871699127242167,0.7641482720033309,0.5839225816056766,0.17790969658671008,-0.16138301332225108,0.28622323609922184,0.2524491513431608,0.6253514716262306
70,French Prelim Private Payrolls q/q,EUR,low,GBP/USD,12h,720,14,-1.3522761551075215,0.08886395064496164,0.22870874995874627,-0.3092773890336609,-0.5370757406750931,0.2884503512216999,0.46808303054354566,0.08886395064496162,0.5758543267005614,0.4428604740545891,0.6215094324965437
67,Employment Change,CAD,high,USD/CAD,15m,15,45,-2.6326416429005295e-06,-0.08211758115084007,51005.06134520655,-0.13427804849608688,-0.6883491336926963,0.47382452985548557,0.13992059103101673,-0.09783152660157524,0.1950725902359214,0.15896651511588009,0.6200404859308619
331,CBI Industrial Order Expectations,GBP,low,EUR/USD,12h,720,17,0.03834782341529367,-0.014851503687478191,6.341970374835736,0.2432007600392246,0.6177181109480037,0.38157566459317016,0.30036782469258827,-0.08026837892533206,0.3937083205573941,0.22345185055780914,0.6194121546063325
89,PPI m/m,EUR,low,USD/JPY,12h,720,23,0.46498839854553553,-0.08298562214014496,0.549379815626841,0.2554552406615664,0.4857481896011905,0.2359513037008341,0.44958474633933443,-0.03648678228559136,0.5259005512121426,0.3142428052518399,0.5950999658063307
342,Public Sector Net Borrowing,GBP,low,GBP/USD,12h,720,17,-6.708333747911349e-11,0.06264702016766305,3275813774.0648417,-0.2197525209243202,-0.6530265743635688,0.42644370682501764,0.24724445834870543,-0.01982602414489405,0.3365139024219468,0.2504015518344648,0.5916831225329049
